"Page","Guard","Includes","PhpRefs"
"pages/pages-starter.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/pages-timeline.php","","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php",""
"pages/process_add_subject.php","require_role('admin')","../layouts/session.php",""
"pages/process_delete_subject.php","require_role('admin')","../layouts/session.php",""
"pages/process_edit_subject.php","require_role('admin')","../layouts/session.php",""
"pages/section.php","require_role('admin')","../layouts/session.php | ../layouts/main.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","section.php"
"pages/student-assessment-module.php","require_approved_student()","../layouts/session.php | ../layouts/main.php | /../includes/grading.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","student-dashboard.php"
"pages/student-attendance-scan.php","require_approved_student()","../layouts/session.php | ../layouts/main.php | /../includes/attendance_checkin.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","student-dashboard.php | student-attendance.php | includes/attendance_qr_submit.php"
"pages/student-attendance.php","require_approved_student()","../layouts/session.php | ../layouts/main.php | /../includes/attendance_checkin.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","student-attendance.php | student-dashboard.php | student-attendance-scan.php | student-face-register.php"
"pages/student-dashboard.php","require_approved_student()","../layouts/session.php | ../layouts/main.php | /../includes/subject_colors.php | /../includes/grading.php | /../includes/learning_materials.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","student-attendance.php | student-quiz-attempt.php?assessment_id= | student-assessment-module.php?assessment_id="
"pages/student-face-register.php","require_approved_student()","../layouts/session.php | ../layouts/main.php | /../includes/attendance_checkin.php | /../includes/face_profiles.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","student-dashboard.php | includes/face_profile_submit.php"
"pages/student-learning-material.php","require_approved_student()","../layouts/session.php | ../layouts/main.php | /../includes/learning_materials.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","student-dashboard.php"
"pages/student-learning-materials.php","require_approved_student()","../layouts/session.php | ../layouts/main.php | /../includes/learning_materials.php | ../layouts/title-meta.php | ../layouts/head-css.php | ../layouts/menu.php | ../layouts/footer.php | ../layouts/right-sidebar.php | ../layouts/footer-scripts.php","student-dashboard.php"
